"ship_state","sku","total_units_sold","total_revenue","total_orders","avg_order_value"
"MAHARASHTRA","J0230-SKD-M","80","92778.00","80","1159.73"
"KARNATAKA","JNE3797-KR-L","106","78993.00","106","745.22"
"MAHARASHTRA","J0230-SKD-S","66","73879.00","65","1136.60"
"MAHARASHTRA","JNE3797-KR-L","94","69746.00","94","741.98"
"KERALA","JNE3797-KR-M","89","66262.00","89","744.52"
"KARNATAKA","J0230-SKD-M","56","64041.00","56","1143.59"
"UTTAR PRADESH","J0230-SKD-M","54","61613.00","54","1140.98"
"MAHARASHTRA","SET268-KR-NP-S","79","61172.00","79","774.33"
"KERALA","JNE3797-KR-S","79","59116.00","79","748.30"
"UTTAR PRADESH","J0230-SKD-S","51","58722.00","51","1151.41"
"MAHARASHTRA","SET268-KR-NP-XL","74","56962.00","74","769.76"
"KERALA","JNE3797-KR-L","76","56630.00","76","745.13"
"KARNATAKA","J0230-SKD-S","49","56473.00","49","1152.51"
"MAHARASHTRA","JNE3797-KR-S","74","55433.00","74","749.09"
"MAHARASHTRA","JNE3797-KR-XXXL","73","54502.00","73","746.60"
"KARNATAKA","JNE3797-KR-S","71","53548.00","71","754.20"
"MAHARASHTRA","JNE3797-KR-XL","70","52458.00","70","749.40"
"KARNATAKA","SET268-KR-NP-XL","67","51896.00","67","774.57"
"KARNATAKA","JNE3797-KR-M","69","51542.00","69","746.99"
"MAHARASHTRA","J0230-SKD-L","44","51353.00","44","1167.11"
"MAHARASHTRA","SET268-KR-NP-L","66","50388.00","66","763.45"
"KARNATAKA","JNE3797-KR-XL","67","50290.00","67","750.60"
"MAHARASHTRA","JNE3797-KR-XS","63","47232.00","62","761.81"
"MAHARASHTRA","J0230-SKD-XS","41","45756.00","41","1116.00"
"MAHARASHTRA","JNE3797-KR-M","60","44973.00","60","749.55"
"KERALA","JNE3797-KR-XL","56","42087.00","55","765.22"
"MAHARASHTRA","JNE3797-KR-XXL","56","41374.00","56","738.82"
"UTTAR PRADESH","J0230-SKD-L","35","41224.00","35","1177.83"
"TAMIL NADU","JNE3797-KR-M","54","39989.00","53","754.51"
"KERALA","JNE3797-KR-XS","53","39551.00","53","746.25"
"DELHI","J0230-SKD-S","34","38527.00","34","1133.15"
"TELANGANA","JNE3797-KR-L","52","38473.00","52","739.87"
"TAMIL NADU","JNE3797-KR-S","51","38181.00","50","763.62"
"KARNATAKA","SET268-KR-NP-L","49","37802.00","49","771.47"
"KARNATAKA","J0230-SKD-L","32","37479.00","32","1171.22"
"KARNATAKA","JNE3797-KR-XXXL","49","36452.00","49","743.92"
"KARNATAKA","JNE3797-KR-XXL","49","36427.00","49","743.41"
"MAHARASHTRA","J0230-SKD-XL","30","36088.00","30","1202.93"
"MAHARASHTRA","J0341-DR-XXL","41","35997.00","39","923.00"
"TAMIL NADU","JNE3797-KR-L","48","35795.00","48","745.73"
"TELANGANA","JNE3797-KR-XXXL","48","35686.00","48","743.46"
"TELANGANA","JNE3797-KR-XL","47","35502.00","46","771.78"
"DELHI","J0230-SKD-M","32","35401.00","32","1106.28"
"TELANGANA","J0230-SKD-M","31","35263.00","31","1137.52"
"MAHARASHTRA","SET268-KR-NP-XXL","45","35100.00","45","780.00"
"TELANGANA","J0341-DR-S","42","34598.00","42","823.76"
"KARNATAKA","SET345-KR-NP-M","54","34292.00","54","635.04"
"KARNATAKA","J0230-SKD-XL","29","34126.00","29","1176.76"
"MAHARASHTRA","SET278-KR-NP-M","23","33835.00","23","1471.09"
"UTTAR PRADESH","JNE3797-KR-M","45","33657.00","43","782.72"
"MAHARASHTRA","SET397-KR-NP  -M","31","33589.00","31","1083.52"
"KARNATAKA","JNE3797-KR-XS","45","33423.00","45","742.73"
"KERALA","JNE3797-KR-XXL","45","33320.00","45","740.44"
"TELANGANA","J0341-DR-L","40","32492.00","40","812.30"
"MAHARASHTRA","J0341-DR-XXXL","38","32368.00","38","851.79"
"KARNATAKA","J0341-DR-L","40","32254.00","40","806.35"
"MAHARASHTRA","J0008-SKD-M","29","31567.00","29","1088.52"
"KARNATAKA","J0341-DR-M","38","31524.00","38","829.58"
"MAHARASHTRA","JNE3405-KR-S","76","31374.00","75","418.32"
"TELANGANA","JNE3797-KR-M","42","31215.00","42","743.21"
"MAHARASHTRA","J0003-SET-XXXL","46","30670.00","45","681.56"
"MAHARASHTRA","J0341-DR-XL","38","30629.00","38","806.03"
"UTTAR PRADESH","SET183-KR-DH-M","40","30331.00","40","758.28"
"MAHARASHTRA","J0341-DR-L","36","30231.00","36","839.75"
"HARYANA","J0230-SKD-S","26","29861.00","26","1148.50"
"MAHARASHTRA","J0008-SKD-L","27","29835.00","27","1105.00"
"MAHARASHTRA","SET183-KR-DH-M","39","29514.00","39","756.77"
"KARNATAKA","SET268-KR-NP-S","38","29494.00","38","776.16"
"TELANGANA","JNE3797-KR-S","39","29237.00","39","749.67"
"MAHARASHTRA","J0339-DR-XL","35","28773.00","35","822.09"
"KARNATAKA","J0335-DR-L","30","28667.00","30","955.57"
"KARNATAKA","J0341-DR-S","35","28654.00","35","818.69"
"UTTAR PRADESH","JNE3797-KR-L","38","28256.00","38","743.58"
"TELANGANA","J0230-SKD-S","24","27850.00","24","1160.42"
"KARNATAKA","J0008-SKD-M","25","27453.00","25","1098.12"
"MAHARASHTRA","J0003-SET-S","41","27398.00","41","668.24"
"MAHARASHTRA","SET324-KR-NP-M","45","27303.00","45","606.73"
"KARNATAKA","J0341-DR-XXL","31","27214.00","31","877.87"
"KARNATAKA","J0230-SKD-XS","24","27197.00","24","1133.21"
"MAHARASHTRA","JNE3405-KR-L","66","26942.00","66","408.21"
"TAMIL NADU","J0341-DR-M","32","26917.00","32","841.16"
"MAHARASHTRA","J0341-DR-M","33","26863.00","33","814.03"
"KARNATAKA","J0339-DR-XL","32","26789.00","32","837.16"
"MAHARASHTRA","J0003-SET-XS","40","26709.00","40","667.73"
"KARNATAKA","SET278-KR-NP-M","18","26615.00","18","1478.61"
"MAHARASHTRA","SET197-KR-NP-L","35","26391.00","35","754.03"
"UTTAR PRADESH","JNE3797-KR-S","35","26358.00","35","753.09"
"KARNATAKA","SET345-KR-NP-L","40","25790.00","40","644.75"
"UTTAR PRADESH","J0230-SKD-XL","22","25779.00","22","1171.77"
"MAHARASHTRA","J0339-DR-M","29","25515.00","29","879.83"
"UTTAR PRADESH","J0230-SKD-XS","22","25394.00","22","1154.27"
"UTTAR PRADESH","J0003-SET-S","38","25339.00","38","666.82"
"TAMIL NADU","JNE3797-KR-XXL","34","25157.00","34","739.91"
"TAMIL NADU","J0341-DR-S","29","24928.00","29","859.59"
"HARYANA","J0230-SKD-M","21","24826.00","20","1241.30"
"MAHARASHTRA","JNE3405-KR-M","60","24768.00","60","412.80"
"KARNATAKA","SET324-KR-NP-M","40","24616.00","40","615.40"
"TELANGANA","J0230-SKD-XL","20","24578.00","20","1228.90"
"TAMIL NADU","JNE3797-KR-XS","33","24575.00","33","744.70"
"UTTAR PRADESH","J0003-SET-M","37","24500.00","36","680.56"
"UTTAR PRADESH","J0230-SKD-XXL","21","24453.00","21","1164.43"
"TELANGANA","J0341-DR-M","29","24390.00","29","841.03"
"MAHARASHTRA","J0003-SET-XXL","36","24106.00","36","669.61"
"MAHARASHTRA","J0339-DR-XXL","28","24028.00","27","889.93"
"MAHARASHTRA","J0003-SET-M","36","23993.00","36","666.47"
"MAHARASHTRA","J0119-TP-XXL","39","23782.00","37","642.76"
"KERALA","JNE3797-KR-XXXL","32","23650.00","32","739.06"
"KARNATAKA","SET324-KR-NP-L","38","23216.00","38","610.95"
"TAMIL NADU","J0341-DR-L","28","23048.00","28","823.14"
"MAHARASHTRA","J0339-DR-L","28","23033.00","28","822.61"
"TELANGANA","JNE3797-KR-XXL","31","22971.00","31","741.00"
"KARNATAKA","J0003-SET-XS","34","22813.00","34","670.97"
"TAMIL NADU","SET268-KR-NP-XL","29","22492.00","29","775.59"
"GUJARAT","JNE3797-KR-L","30","22442.00","30","748.07"
"KARNATAKA","SET268-KR-NP-XXXL","29","22402.00","29","772.48"
"MAHARASHTRA","SET268-KR-NP-XS","29","22402.00","28","800.07"
"TELANGANA","JNE3797-KR-XS","30","22313.00","30","743.77"
"UTTAR PRADESH","SET397-KR-NP  -M","20","22062.00","20","1103.10"
"MAHARASHTRA","J0003-SET-XL","32","22029.00","32","688.41"
"TELANGANA","J0341-DR-XXL","25","21904.00","25","876.16"
"KARNATAKA","J0008-SKD-S","20","21892.00","20","1094.60"
"UTTAR PRADESH","SET278-KR-NP-M","15","21661.00","15","1444.07"
"MAHARASHTRA","SET324-KR-NP-L","35","21427.00","35","612.20"
"KARNATAKA","JNE3405-KR-L","52","21270.00","52","409.04"
"TAMIL NADU","JNE3797-KR-XL","28","21136.00","28","754.86"
"BIHAR","J0230-SKD-S","19","21074.00","19","1109.16"
"MAHARASHTRA","J0008-SKD-XS","19","21063.00","19","1108.58"
"KARNATAKA","SET264-KR-NP-XL","26","21044.00","26","809.38"
"MAHARASHTRA","SET268-KR-NP-XXXL","27","21006.00","27","778.00"
"TELANGANA","SET268-KR-NP-S","27","21006.00","27","778.00"
"MAHARASHTRA","SET345-KR-NP-XL","33","20905.00","33","633.48"
"TAMIL NADU","JNE3797-KR-XXXL","28","20895.00","28","746.25"
"KARNATAKA","SET345-KR-NP-S","33","20882.00","33","632.79"
"MAHARASHTRA","SET345-KR-NP-M","33","20877.00","33","632.64"
"TELANGANA","J0343-DR-M","23","20855.00","23","906.74"
"KARNATAKA","JNE3399-KR-M","47","20629.00","46","448.46"
"KARNATAKA","J0339-DR-L","24","20611.00","24","858.79"
"KARNATAKA","J0339-DR-M","25","20566.00","25","822.64"
"GUJARAT","J0230-SKD-M","18","20561.00","18","1142.28"
"MAHARASHTRA","J0285-SKD-XL","14","20417.00","14","1458.36"
"KARNATAKA","J0003-SET-S","30","20223.00","30","674.10"
"DELHI","J0230-SKD-XL","17","20183.00","17","1187.24"
"TELANGANA","SET268-KR-NP-XL","26","20038.00","26","770.69"
"TELANGANA","J0335-DR-L","22","20037.00","22","910.77"
"ANDHRA PRADESH","JNE3797-KR-L","27","19933.00","27","738.26"
"MAHARASHTRA","SET345-KR-NP-L","31","19899.00","31","641.90"
"TELANGANA","J0341-DR-XXXL","22","19811.00","22","900.50"
"KARNATAKA","SET183-KR-DH-M","26","19676.00","26","756.77"
"TAMIL NADU","SET345-KR-NP-M","31","19651.00","31","633.90"
"TELANGANA","SET183-KR-DH-M","26","19647.00","26","755.65"
"HARYANA","J0230-SKD-L","17","19611.00","17","1153.59"
"KARNATAKA","J0012-SKD-XL","17","19570.00","17","1151.18"
"MAHARASHTRA","J0008-SKD-S","18","19530.00","18","1085.00"
"MAHARASHTRA","JNE3800-KR-L","26","19449.00","26","748.04"
"KARNATAKA","SET278-KR-NP-S","13","19404.00","13","1492.62"
"KARNATAKA","J0341-DR-XL","23","19375.00","23","842.39"
"TAMIL NADU","SET268-KR-NP-L","25","19340.00","25","773.60"
"UTTAR PRADESH","JNE3405-KR-L","47","19305.00","44","438.75"
"ANDHRA PRADESH","J0341-DR-S","23","19299.00","23","839.09"
"TELANGANA","SET268-KR-NP-L","25","19250.00","25","770.00"
"MAHARASHTRA","SET331-KR-NP-M","31","19173.00","30","639.10"
"MAHARASHTRA","JNE3567-KR-M","48","19152.00","48","399.00"
"KARNATAKA","J0008-SKD-L","17","19033.00","17","1119.59"
"KARNATAKA","SET331-KR-NP-M","31","18975.00","31","612.10"
"MAHARASHTRA","JNE3798-KR-XL","25","18873.00","25","754.92"
"WEST BENGAL","JNE3797-KR-M","25","18775.00","25","751.00"
"KARNATAKA","SET110-KR-PP-M","24","18754.00","24","781.42"
"MAHARASHTRA","JNE3800-KR-M","25","18713.00","25","748.52"
"MAHARASHTRA","J0119-TP-XXXL","32","18658.00","32","583.06"
"UTTAR PRADESH","J0003-SET-XXXL","28","18641.00","28","665.75"
"BIHAR","J0230-SKD-M","16","18609.00","16","1163.06"
"KARNATAKA","JNE3797-KR-A-M","24","18606.00","24","775.25"
"MAHARASHTRA","JNE3405-KR-XS","46","18590.00","45","413.11"
"TAMIL NADU","SET268-KR-NP-S","24","18552.00","24","773.00"
"MAHARASHTRA","J0335-DR-XL","20","18540.00","20","927.00"
"TAMIL NADU","J0341-DR-XS","23","18533.00","23","805.78"
"TAMIL NADU","JNE3399-KR-XL","42","18490.00","42","440.24"
"TAMIL NADU","JNE3399-KR-M","42","18463.00","42","439.60"
"KARNATAKA","SET268-KR-NP-XXL","24","18462.00","24","769.25"
"UTTAR PRADESH","SET268-KR-NP-XL","24","18462.00","24","769.25"
"UTTAR PRADESH","SET268-KR-NP-L","24","18372.00","24","765.50"
"UTTAR PRADESH","SET363-KR-NP-XXL","15","18078.00","15","1205.20"
"KARNATAKA","J0339-DR-S","22","18060.00","22","820.91"
"WEST BENGAL","JNE3797-KR-L","24","17969.00","23","781.26"
"JHARKHAND","J0230-SKD-M","15","17937.00","15","1195.80"
"KARNATAKA","J0003-SET-M","27","17918.00","27","663.63"
"KARNATAKA","J0341-DR-XXXL","21","17895.00","21","852.14"
"TAMIL NADU","JNE3368-KR-XXL","38","17876.00","38","470.42"
"MAHARASHTRA","J0335-DR-L","19","17875.00","19","940.79"
"UTTAR PRADESH","SET291-KR-PP-M","31","17845.00","31","575.65"
"MAHARASHTRA","J0157-DR-L","25","17708.00","25","708.32"
"MAHARASHTRA","J0285-SKD-S","12","17687.00","12","1473.92"
"MAHARASHTRA","SET397-KR-NP-S","17","17468.00","17","1027.53"
"MAHARASHTRA","JNE3373-KR-XXXL","46","17434.00","46","379.00"
"UTTAR PRADESH","JNE3797-KR-XL","23","17381.00","23","755.70"
"UTTAR PRADESH","J0003-SET-XXL","26","17311.00","26","665.81"
"ANDHRA PRADESH","J0341-DR-M","21","17273.00","21","822.52"
"KARNATAKA","J0341-DR-XS","21","17271.00","21","822.43"
"UTTAR PRADESH","J0003-SET-XS","26","17264.00","26","664.00"
"KARNATAKA","SET345-KR-NP-XL","27","17156.00","27","635.41"
"UTTAR PRADESH","JNE3797-KR-XS","23","17131.00","20","856.55"
"KARNATAKA","SET264-KR-NP-M","21","17114.00","21","814.95"
"MAHARASHTRA","JNE3801-KR-XL","23","17089.00","23","743.00"
"MAHARASHTRA","SET345-KR-NP-XXL","27","17028.00","27","630.67"
"MAHARASHTRA","J0339-DR-XXXL","21","17025.00","21","810.71"
"MAHARASHTRA","JNE3797-KR-A-M","22","17018.00","22","773.55"
"MAHARASHTRA","J0119-TP-XL","27","16974.00","27","628.67"
"WEST BENGAL","JNE3405-KR-S","41","16877.00","41","411.63"
"TELANGANA","J0339-DR-S","20","16819.00","20","840.95"
"TELANGANA","J0341-DR-XS","21","16790.00","21","799.52"
"ODISHA","J0230-SKD-L","14","16773.00","14","1198.07"
"MAHARASHTRA","J0008-SKD-XL","15","16763.00","15","1117.53"
"GUJARAT","J0230-SKD-S","15","16696.00","14","1192.57"
"TELANGANA","J0008-SKD-XS","15","16647.00","15","1109.80"
"MAHARASHTRA","SET291-KR-PP-L","29","16613.00","29","572.86"
"WEST BENGAL","J0230-SKD-S","14","16599.00","14","1185.64"
"TAMIL NADU","JNE3291-KR-XL","37","16584.00","34","487.76"
"DELHI","SET183-KR-DH-M","22","16582.00","22","753.73"
"MAHARASHTRA","JNE3405-KR-XXXL","40","16540.00","40","413.50"
"KARNATAKA","JNE3405-KR-M","40","16536.00","39","424.00"
"TELANGANA","SET324-KR-NP-L","27","16499.00","27","611.07"
"KARNATAKA","J0335-DR-M","18","16497.00","18","916.50"
"KARNATAKA","JNE3801-KR-XXL","22","16463.00","22","748.32"
"MAHARASHTRA","J0401-DR-XXL","18","16461.00","18","914.50"
"KARNATAKA","JNE3800-KR-M","22","16402.00","22","745.55"
"KARNATAKA","SET268-KR-NP-XS","21","16368.00","21","779.43"
"WEST BENGAL","SET268-KR-NP-S","21","16368.00","21","779.43"
"TAMIL NADU","J0012-SKD-L","14","16270.00","14","1162.14"
"DELHI","J0230-SKD-L","14","16024.00","14","1144.57"
"MAHARASHTRA","JNE3368-KR-XXXL","34","16014.00","34","471.00"
"UTTAR PRADESH","SET397-KR-NP-S","15","16009.00","15","1067.27"
"MAHARASHTRA","SET324-KR-NP-XS","26","15970.00","26","614.23"
"DELHI","J0230-SKD-XS","14","15942.00","14","1138.71"
"MAHARASHTRA","SET392-KR-NP-M","20","15932.00","20","796.60"
"KARNATAKA","SET392-KR-NP-M","20","15884.00","20","794.20"
"MAHARASHTRA","J0349-SET-L","19","15863.00","19","834.89"
"MAHARASHTRA","SET278-KR-NP-L","11","15810.00","11","1437.27"
"MAHARASHTRA","JNE3800-KR-XXXL","21","15785.00","21","751.67"
"KARNATAKA","SET345-KR-NP-XXL","25","15756.00","25","630.24"
"TELANGANA","J0339-DR-M","17","15752.00","17","926.59"
"KARNATAKA","J0339-DR-XXL","18","15739.00","18","874.39"
"TELANGANA","JNE3801-KR-XXL","21","15697.00","20","784.85"
"UTTAR PRADESH","JNE3405-KR-S","38","15658.00","37","423.19"
"MAHARASHTRA","J0349-SET-M","19","15633.00","19","822.79"
"MAHARASHTRA","SET331-KR-NP-L","25","15609.00","25","624.36"
"TELANGANA","SET324-KR-NP-M","25","15529.00","25","621.16"
"TELANGANA","J0335-DR-M","17","15525.00","17","913.24"
"TAMIL NADU","JNE3368-KR-XXXL","33","15521.00","33","470.33"
"MAHARASHTRA","J0244-SKD-L","13","15506.00","13","1192.77"
"TAMIL NADU","JNE3405-KR-L","38","15506.00","38","408.05"
"KARNATAKA","SET324-KR-NP-XXL","25","15477.00","25","619.08"
"WEST BENGAL","J0230-SKD-XL","13","15414.00","12","1284.50"
"MAHARASHTRA","SET264-KR-NP-M","19","15371.00","19","809.00"
"TAMIL NADU","JNE3399-KR-S","35","15359.00","35","438.83"
"MAHARASHTRA","SET291-KR-PP-M","27","15345.00","27","568.33"
"UTTAR PRADESH","J0008-SKD-L","14","15310.00","14","1093.57"
"KARNATAKA","SET331-KR-NP-XL","24","15250.00","24","635.42"
"MAHARASHTRA","SET331-KR-NP-XL","24","15248.00","24","635.33"
"MAHARASHTRA","SET304-KR-DPT-L","13","15174.00","13","1167.23"
"UTTAR PRADESH","JNE3405-KR-M","37","15159.00","37","409.70"
"KARNATAKA","J0343-DR-XL","18","15060.00","18","836.67"
"MAHARASHTRA","SET058-KR-NP-XL","18","15050.00","18","836.11"
"UTTAR PRADESH","SET350-KR-NP-XL","13","15015.00","13","1155.00"
"MAHARASHTRA","J0012-SKD-XL","13","14985.00","13","1152.69"
"TAMIL NADU","SET304-KR-DPT-XS","13","14971.00","12","1247.58"
"KARNATAKA","SET304-KR-DPT-L","13","14966.00","13","1151.23"
"MAHARASHTRA","SET393-KR-NP-XXXL","15","14955.00","15","997.00"
"KARNATAKA","JNE3800-KR-XL","20","14946.00","20","747.30"
"TELANGANA","J0338-DR-XS","17","14897.00","17","876.29"
"KARNATAKA","SET278-KR-NP-XL","10","14896.00","10","1489.60"
"TELANGANA","J0230-SKD-L","13","14895.00","13","1145.77"
"MAHARASHTRA","J0301-TP-L","27","14886.00","27","551.33"
"MAHARASHTRA","SET278-KR-NP-XXL","10","14886.00","10","1488.60"
"DELHI","SET268-KR-NP-XL","19","14882.00","19","783.26"
"KERALA","JNE3399-KR-M","34","14872.00","34","437.41"
"MAHARASHTRA","JNE3440-KR-N-XS","36","14866.00","36","412.94"
"MAHARASHTRA","J0117-TP-XL","25","14865.00","25","594.60"
"KARNATAKA","SET304-KR-DPT-XS","13","14816.00","13","1139.69"
"TELANGANA","SET278-KR-NP-M","10","14805.00","10","1480.50"
"UTTAR PRADESH","J0341-DR-XXL","17","14773.00","17","869.00"
"KARNATAKA","JNE3567-KR-M","37","14763.00","37","399.00"
"TAMIL NADU","SET268-KR-NP-XS","19","14702.00","19","773.79"
"DELHI","SET268-KR-NP-L","19","14702.00","19","773.79"
"KARNATAKA","J0335-DR-XL","15","14699.00","15","979.93"
"TELANGANA","JNE3405-KR-L","36","14636.00","36","406.56"
"ANDHRA PRADESH","SET278-KR-NP-M","10","14631.00","10","1463.10"
"MAHARASHTRA","J0341-DR-S","17","14534.00","16","908.38"
"WEST BENGAL","J0230-SKD-L","13","14532.00","13","1117.85"
"TELANGANA","J0341-DR-XL","18","14519.00","18","806.61"
"UTTAR PRADESH","J0003-SET-XL","21","14511.00","21","691.00"
"MAHARASHTRA","J0308-DR-XXXL","22","14500.00","22","659.09"
"MAHARASHTRA","J0301-TP-XL","27","14453.00","27","535.30"
"TELANGANA","J0338-DR-XL","16","14438.00","16","902.38"
"MAHARASHTRA","SET183-KR-DH-XXXL","19","14421.00","19","759.00"
"TAMIL NADU","SET197-KR-NP-L","19","14392.00","19","757.47"
"KARNATAKA","J0041-SET-XL","22","14344.00","21","683.05"
"KERALA","JNE3800-KR-M","19","14315.00","19","753.42"
"KARNATAKA","JNE3798-KR-XL","19","14293.00","19","752.26"
"MAHARASHTRA","SET374-KR-NP-XL","22","14281.00","22","649.14"
"KARNATAKA","SET331-KR-NP-XXXL","23","14217.00","23","618.13"
"TAMIL NADU","JNE3291-KR-M","31","14207.00","31","458.29"
"ANDHRA PRADESH","JNE3797-KR-XS","19","14203.00","19","747.53"
"MAHARASHTRA","SET324-KR-NP-XXL","23","14189.00","23","616.91"
"MAHARASHTRA","JNE3801-KR-XXL","19","14149.00","19","744.68"
"KARNATAKA","SET319-KR-NP-M","16","14130.00","16","883.13"
"UTTAR PRADESH","J0008-SKD-S","13","14125.00","13","1086.54"
"TAMIL NADU","J0008-SKD-M","13","14119.00","13","1086.08"
"ANDHRA PRADESH","JNE3797-KR-S","19","14105.00","19","742.37"
"MAHARASHTRA","SET268-KR-NP-M","18","14094.00","18","783.00"
"KERALA","J0341-DR-L","17","14057.00","16","878.56"
"KERALA","JNE3797-KR-A-M","18","14036.00","18","779.78"
"MAHARASHTRA","JNE3567-KR-L","35","14015.00","35","400.43"
"KARNATAKA","SET268-KR-NP-M","18","14004.00","18","778.00"
"WEST BENGAL","SET268-KR-NP-XL","18","14004.00","17","823.76"
"MAHARASHTRA","JNE3399-KR-XL","32","13995.00","32","437.34"
"MAHARASHTRA","SET345-KR-NP-S","22","13983.00","22","635.59"
"KARNATAKA","SET374-KR-NP-L","22","13960.00","21","664.76"
"ANDHRA PRADESH","J0341-DR-XL","16","13952.00","16","872.00"
"TAMIL NADU","SET345-KR-NP-S","22","13934.00","22","633.36"
"TAMIL NADU","SET264-KR-NP-XL","17","13913.00","17","818.41"
"MAHARASHTRA","SET264-KR-NP-XL","17","13913.00","17","818.41"
"KARNATAKA","SET345-KR-NP-XXXL","22","13913.00","22","632.41"
"ANDHRA PRADESH","J0230-SKD-S","12","13841.00","12","1153.42"
"MAHARASHTRA","JNE3440-KR-N-L","34","13830.00","34","406.76"
"KARNATAKA","J0119-TP-XL","24","13766.00","24","573.58"
"TAMIL NADU","SET304-KR-DPT-XL","12","13749.00","12","1145.75"
"DELHI","J0119-TP-XXXL","22","13748.00","22","624.91"
"KARNATAKA","J0002-SKD-M","12","13704.00","12","1142.00"
"MAHARASHTRA","SET187-KR-DH-XL","22","13694.00","22","622.45"
"MAHARASHTRA","JNE3710-DR-XXXL","19","13669.00","19","719.42"
"UTTAR PRADESH","SET344-KR-NP-XXL","15","13661.00","15","910.73"
"TELANGANA","J0230-SKD-XS","12","13625.00","12","1135.42"
"MAHARASHTRA","SET304-KR-DPT-XS","12","13600.00","12","1133.33"
"KARNATAKA","SET331-KR-NP-L","22","13580.00","22","617.27"
"TELANGANA","SET304-KR-DPT-XS","12","13580.00","12","1131.67"
"KARNATAKA","SET345-KR-NP-XS","21","13548.00","21","645.14"
"MAHARASHTRA","JNE3801-KR-M","18","13540.00","18","752.22"
"TELANGANA","J0343-DR-XL","15","13524.00","15","901.60"
"KARNATAKA","JNE3801-KR-L","18","13513.00","18","750.72"
"TAMIL NADU","JNE3399-KR-L","31","13492.00","31","435.23"
"GUJARAT","JNE3797-KR-M","18","13488.00","18","749.33"
"TELANGANA","J0339-DR-L","15","13486.00","15","899.07"
"TELANGANA","J0003-SET-XXXL","20","13451.00","20","672.55"
"UTTAR PRADESH","J0341-DR-L","16","13450.00","16","840.63"
"MAHARASHTRA","SET110-KR-PP-M","17","13445.00","17","790.88"
"MADHYA PRADESH","J0230-SKD-S","12","13434.00","12","1119.50"
"KARNATAKA","JNE3405-KR-XS","33","13325.00","32","416.41"
"UTTAR PRADESH","SET278-KR-NP-L","9","13282.00","9","1475.78"
"KARNATAKA","SET291-KR-PP-L","23","13253.00","23","576.22"
"GUJARAT","JNE3797-KR-XXL","18","13204.00","18","733.56"
"KARNATAKA","JNE3291-KR-XL","29","13191.00","29","454.86"
"KARNATAKA","JNE3399-KR-L","30","13186.00","30","439.53"
"KARNATAKA","J0285-SKD-S","9","13171.00","8","1646.38"
"KARNATAKA","SET319-KR-NP-XL","15","13168.00","15","877.87"
"TAMIL NADU","JNE3567-KR-M","33","13167.00","33","399.00"
"MAHARASHTRA","JNE3368-KR-XXL","28","13166.00","28","470.21"
"MAHARASHTRA","J0157-DR-XXL","19","13135.00","19","691.32"
"MAHARASHTRA","SET331-KR-NP-XXXL","21","13103.00","20","655.15"
"MAHARASHTRA","J0230-SKD-XXL","11","13095.00","11","1190.45"
"UTTAR PRADESH","SET278-KR-NP-XL","9","13090.00","9","1454.44"
"TELANGANA","J0335-DR-XL","14","13084.00","14","934.57"
"MAHARASHTRA","J0285-SKD-XXXL","9","13047.00","9","1449.67"
"KARNATAKA","J0006-SET-S","15","13015.00","15","867.67"
"PUNJAB","J0230-SKD-M","11","12944.00","10","1294.40"
"KARNATAKA","JNE3405-KR-S","31","12937.00","31","417.32"
"MAHARASHTRA","J0119-TP-M","21","12922.00","21","615.33"
"KARNATAKA","J0006-SET-M","15","12917.00","15","861.13"
"TAMIL NADU","J0341-DR-XL","16","12885.00","16","805.31"
"KERALA","JNE3800-KR-L","17","12845.00","17","755.59"
"MAHARASHTRA","JNE3861-DR-L","16","12815.00","16","800.94"
"UTTAR PRADESH","SET398-KR-PP-XXXL","11","12782.00","11","1162.00"
"MAHARASHTRA","J0117-TP-M","22","12749.00","22","579.50"
"TELANGANA","J0003-SET-M","19","12740.00","19","670.53"
"KARNATAKA","SET058-KR-NP-L","15","12705.00","15","847.00"
"TAMIL NADU","JNE3798-KR-XL","17","12701.00","17","747.12"
"UTTAR PRADESH","JNE3797-KR-XXL","17","12691.00","17","746.53"
"GUJARAT","J0341-DR-XXXL","14","12675.00","14","905.36"
"TAMIL NADU","JNE3800-KR-L","17","12675.00","17","745.59"
"MAHARASHTRA","JNE3291-KR-XL","28","12664.00","28","452.29"
"KARNATAKA","JNE3801-KR-M","17","12625.00","17","742.65"
"WEST BENGAL","J0230-SKD-M","11","12583.00","11","1143.91"
"TAMIL NADU","JNE3373-KR-XXXL","33","12498.00","33","378.73"
"MADHYA PRADESH","J0230-SKD-XS","11","12496.00","11","1136.00"
"MADHYA PRADESH","J0230-SKD-M","11","12491.00","11","1135.55"
"KARNATAKA","JNE3373-KR-XXXL","33","12486.00","33","378.36"
"ANDHRA PRADESH","JNE3291-KR-L","28","12478.00","28","445.64"
"MAHARASHTRA","J0349-SET-S","15","12464.00","15","830.93"
"UTTAR PRADESH","J0003-SET-L","18","12448.00","18","691.56"
"KARNATAKA","SET397-KR-NP  -M","11","12429.00","11","1129.91"
"KARNATAKA","JNE3399-KR-XL","28","12375.00","28","441.96"
"TAMIL NADU","JNE3465-KR-XXL","25","12371.00","24","515.46"
"TELANGANA","J0339-DR-XL","15","12370.00","15","824.67"
"KARNATAKA","J0343-DR-XXXL","14","12339.00","14","881.36"
"HARYANA","SET268-KR-NP-S","16","12338.00","15","822.53"
