fulfilment,total_orders,cancelled_orders,total_revenue,lost_revenue,cancellation_rate,lost_revenue_pct
amazon,87613,10863,53136483.0,3505589.0,12.4,6.6
merchant,38628,6519,23902157.19,3032929.19,16.88,12.69
