date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-05-01,cancelled,merchant,amazon.in,standard,j0117,j0117_tp_xxxl,top,3xl,0,493.33,karnataka,False,easy_ship
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3294,jne3294_kr_xxxl,kurta,3xl,1,432.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set389,set389_kr_np_xl,set,xl,1,680.0,uttar_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0096,j0096_kr_xl,kurta,xl,0,,tamil_nadu,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set223,set223_kr_np_xs,set,xs,1,648.0,tamil_nadu,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0230,j0230_skd_l,set,l,1,1146.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3567,jne3567_kr_xxl,kurta,xxl,1,399.0,tamil_nadu,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3837,jne3837_kr_xl,kurta,xl,1,635.0,uttar_pradesh,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,j0349,j0349_set_m,set,m,1,852.0,west_bengal,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set398,set398_kr_pp_l,set,l,1,1186.0,maharashtra,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3405,jne3405_kr_l,kurta,l,0,,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0230,j0230_skd_xl,set,xl,1,0.0,andhra_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0334,j0334_tp_m,top,m,1,545.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0341,j0341_dr_xxl,western_dress,xxl,1,791.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set345,set345_kr_np_xl,set,xl,1,666.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set328,set328_kr_np_xl,set,xl,1,635.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0111,j0111_tp_xxxl,top,3xl,1,423.0,gujarat,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3805,jne3805_kr_l,kurta,l,1,459.0,west_bengal,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,set183,set183_kr_dh_m,set,m,1,759.0,uttar_pradesh,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,j0119,j0119_tp_xxxl,top,3xl,1,574.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3865,jne3865_tp_xxxl,top,3xl,1,599.0,telangana,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3781,jne3781_kr_l,kurta,l,1,432.0,maharashtra,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,j0091,j0091_tp_xl,top,xl,1,298.0,maharashtra,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3567,jne3567_kr_xl,kurta,xl,1,399.0,tamil_nadu,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,j0341,j0341_dr_m,western_dress,m,1,791.0,andhra_pradesh,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3778,jne3778_kr_xxxl,kurta,3xl,1,459.0,uttar_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne2270,jne2270_kr_487_a_xl,kurta,xl,1,518.0,jammu_&_kashmir,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3225,jne3225_kr_xl,kurta,xl,1,349.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3616,jne3616_kr_xl,kurta,xl,1,319.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0395,j0395_dr_xxl,western_dress,xxl,1,859.0,haryana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0341,j0341_dr_s,western_dress,s,1,791.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3510,jne3510_kr_s,kurta,s,1,442.0,madhya_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set323,set323_kr_np_xl,set,xl,1,999.0,karnataka,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,set110,set110_kr_pp_xl,set,xl,1,788.0,punjab,False,easy_ship
2022-05-01,cancelled,merchant,amazon.in,standard,set323,set323_kr_np_xl,set,xl,0,,karnataka,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set385,set385_kr_np_xl,set,xl,1,631.0,haryana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0002,j0002_skd_xs,set,xs,1,1186.0,andhra_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set268,set268_kr_np_s,set,s,1,788.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set405,set405_kr_np_l,set,l,1,771.0,west_bengal,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,j0335,j0335_dr_xxxl,western_dress,3xl,1,859.0,west_bengal,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3800,jne3800_kr_m,western_dress,m,1,771.0,tamil_nadu,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3798,jne3798_kr_l,western_dress,l,1,771.0,tamil_nadu,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3714,jne3714_kr_xl,kurta,xl,1,459.0,tamil_nadu,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3800,jne3800_kr_xxl,western_dress,xxl,1,771.0,karnataka,False,easy_ship
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3543,jne3543_kr_xl,kurta,xl,0,,madhya_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set397,set397_kr_np_s,set,s,1,1186.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3291,jne3291_kr_l,kurta,l,1,442.0,punjab,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set183,set183_kr_dh_s,set,s,1,759.0,tamil_nadu,False,
2022-05-01,cancelled,merchant,amazon.in,standard,jne3714,jne3714_kr_xl,kurta,xl,0,,tamil_nadu,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3405,jne3405_kr_m,kurta,m,1,399.0,uttar_pradesh,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3802,jne3802_kr_m,kurta,m,1,459.0,uttar_pradesh,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set364,set364_kr_np_xl,set,xl,1,1126.0,uttar_pradesh,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,set324,set324_kr_np_m,set,m,0,,rajasthan,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3371,jne3371_kr_xl,kurta,xl,1,329.0,maharashtra,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3368,jne3368_kr_xxxl,kurta,3xl,1,471.0,maharashtra,False,easy_ship
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3880,jne3880_dr_s,western_dress,s,0,,tamil_nadu,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3634,jne3634_kr_xxl,kurta,xxl,1,544.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3567,jne3567_kr_xl,kurta,xl,1,399.0,karnataka,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3710,jne3710_dr_xxxl,western_dress,3xl,1,690.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set116,set116_kr_np_xl,set,xl,1,591.0,kerala,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3568,jne3568_kr_xl,kurta,xl,1,399.0,haryana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set398,set398_kr_pp_xl,set,xl,1,1186.0,jammu_&_kashmir,False,
